switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
6,8,12,4,2,60,2.818181818,22.5,46.93,6.83,143,24.02,53.2,21.04,169,64.79
6,8,12,4,5,60,2.818181818,34.6,45.17,6.47,172,25.01,50.35,21.42,188,68.12
6,8,12,16,2,60,2.818181818,46.5,41.16,6.2,182,24.51,57.1,22.2,201,72.19
6,8,12,16,5,60,2.818181818,94.8,38.48,5.89,172,24.95,64.69,24.51,356,125.83
6,8,24,8,2,72,2.739130435,31.7,47.41,7.13,161,25.89,56.06,22.93,205,70.48
6,8,24,8,5,72,2.739130435,54.6,44.51,6.84,168,32.24,57.58,23.38,217,73.63
6,8,24,32,2,72,2.739130435,78.6,39.24,6.14,152,25.37,67.9,25.61,281,98.53
6,8,24,32,5,72,2.739130435,176.6,39.21,6.08,165,26.72,55.42,23.33,309,108.44
6,8,48,16,2,96,2.70212766,46.6,47.15,7.79,186,30.8,55.45,24.84,227,78.87
6,8,48,16,5,96,2.70212766,94.3,42.47,7.06,203,40.41,58.53,25.77,243,82.35
6,8,48,64,2,96,2.70212766,142.7,44.44,7.11,166,29.03,61.04,26.48,242,92.21
6,8,48,64,5,96,2.70212766,336.6,40.4,6.65,190,39.47,49.56,24.43,252,84
4,8,8,4,2,40,4.428571429,23.1,37.27,4.61,127,16.13,54.11,17.19,214,57.7
4,8,8,4,5,40,4.428571429,35.2,32.41,3.99,131,14.98,46.53,16.35,240,70.35
4,8,8,16,2,40,4.428571429,47.2,32.84,4.07,137,16.97,48.31,16.93,244,67.06
4,8,8,16,5,40,4.428571429,94.7,31.54,3.89,145,20.13,37.88,15.26,195,61.6
4,8,32,16,2,64,4.096774194,48.3,36.48,5,131,22.79,50.91,19.37,287,77.01
4,8,32,16,5,64,4.096774194,96.5,33.81,4.64,159,19.91,42.03,18.17,292,81.11
4,8,32,64,2,64,4.096774194,145.1,33.33,4.56,151,19.28,37.82,17.38,284,76.44
4,8,32,64,5,64,4.096774194,336.9,32.84,4.46,171,23.45,35.13,17.42,294,84.77
8,16,16,4,2,144,4.733333333,109,64.46,8.95,272,45.24,74.98,27.1,435,117.76
8,16,16,4,5,144,4.733333333,118.1,61.7,8.71,280,44.79,73.22,25.22,474,117.61
8,16,16,16,2,144,4.733333333,121.6,63.8,9.01,246,43.54,79.98,28.86,498,127.54
8,16,16,16,5,144,4.733333333,137.6,62.5,9.02,295,58.69,79.78,29.79,619,150.34
8,16,64,16,2,192,4.555555556,173.9,65.78,10.53,313,53.01,73.24,29.18,602,149.47
8,16,64,16,5,192,4.555555556,189.4,64.18,10.29,341,60.36,71.19,29.98,555,144.84
8,16,64,64,2,192,4.555555556,197.1,63.42,10.12,308,52.55,77.42,32.93,518,138.31
8,16,64,64,5,192,4.555555556,401.7,57.68,9.69,388,80.98,73.58,31.87,669,163.94
12,16,24,4,2,216,2.913043478,23,123.48,20.05,397,81.74,145.22,56.88,537,170.43
12,16,24,4,5,216,2.913043478,35.1,109.83,19.44,494,83.19,147.15,56.44,531,180.28
12,16,24,16,2,216,2.913043478,47,109.53,18.57,484,87.99,153.96,58.19,550,181.42
12,16,24,16,5,216,2.913043478,95.3,93.78,17.22,479,85.84,137.27,53.57,515,185.53
12,16,48,8,2,240,2.872340426,31.7,118.86,20.4,544,88.51,147.82,58.18,584,198.26
12,16,48,8,5,240,2.872340426,55.1,105.66,18.41,434,86.72,144.28,58.29,590,208.88
12,16,48,32,2,240,2.872340426,79.5,99.11,18.4,579,99.82,139.8,55.84,589,193.23
12,16,48,32,5,240,2.872340426,175.5,84.71,16.87,465,87.48,135.72,54.27,643,194.4
12,16,96,16,2,288,2.852631579,47.2,108.18,20.42,481,91.08,147.69,63.42,662,219.61
12,16,96,16,5,288,2.852631579,95.4,93.79,18.63,468,93.33,149.2,63.72,688,222.8
12,16,96,64,2,288,2.852631579,143.5,84.13,17.75,497,91.64,131.8,49.9,814,223.89
12,16,96,64,5,288,2.852631579,335.9,80.45,17.49,481,95.79,130.52,55.72,1097,335.81
8,7,48,8,4,62,5.34,50,35,4.69,106,16.7,48.14,20.64,173,66.88
2,48,20,46,9,69,50,423.5,102,11.04,238,31.18,114.92,52.64,279,112.83
16,15,48,1,9,78,7.26,29,66.97,8.01,192,24.59,74.62,31.68,165,77.68
32,31,288,45,3,350,9.09,175.8,134.8,19.62,537,126.95,153.94,85.4,363,142.74
2,37,18,25,9,56,39,244.3,80.08,8.73,203,28.73,90.78,41.1,208,92.3
2,20,14,5,4,35,22,36.5,47.59,5.43,155,23.17,58.55,23.42,155,71.94
2,1,12,22,9,14,2.09,212.1,6.91,0.93,37,5.17,10.03,4.68,66,14.78
2,14,20,80,10,35,16,816.7,33.93,3.89,159,21.08,39.88,18.59,142,60.5
4,3,40,31,0,46,3.56,16.9,23.37,3.34,87,12.58,89.35,21.72,962,171.03
2,1,20,73,6,22,3,453.4,6.61,1.07,43,6.42,14.75,6.16,67,19.05
2,14,20,63,1,35,16,79.1,34.54,4.05,140,19.52,75.85,24.81,159,64.61
32,31,128,13,3,190,9.13,71.3,123.35,15.34,313,47.85,143.17,65.53,327,115.22
2,29,12,33,7,42,31,242.1,64.24,6.89,202,27.07,74.16,32.93,261,107.28
8,7,80,66,7,94,5.3,482.2,32.45,5.03,183,28.08,40.64,23.63,222,81.79
